Gene,Non-unique Gene name,Annotation,gardnerella_leopoldii_UGent06.41,gardnerella_leopoldii_UMB6774,gardnerella_piotii_JNFY15,gardnerella_piotii_UGhent18.01,gardnerella_swidsinskii_GS9838-1,gardnerella_swidsinskii_JNFY3,gardnerella_vaginalis_ATCC14018,gardnerella_vaginalis_NR001
group_1588,,hypothetical protein,GPLCAFGD_00700,IJGDKHFC_00898,,,MEHEBMPK_00641,JPHLBIEJ_00267,,
group_1587,,ComEA family DNA-binding protein;helix-hairpin-helix domain-containing protein,GPLCAFGD_00698,IJGDKHFC_00896,,,MEHEBMPK_00639,JPHLBIEJ_00265,,
rpoC,;rpoC,DNA-directed RNA polymerase subunit beta',,,NCOBLFIM_00446,CHHPJEJH_01084,,,HBKJMDBP_00365,LDEEJEMD_00075
group_1584,,hypothetical protein,GPLCAFGD_00812,IJGDKHFC_01016,,,MEHEBMPK_00751,JPHLBIEJ_00404,,
group_1583,,phosphoribosylaminoimidazolesuccinocarboxamide synthase,GPLCAFGD_00735,IJGDKHFC_00933,,,MEHEBMPK_00672,JPHLBIEJ_00302,,
group_1582,,FHA domain-containing protein,GPLCAFGD_00004,IJGDKHFC_00848,,,MEHEBMPK_00260,JPHLBIEJ_00859,,
group_1580,,GNAT family N-acetyltransferase,GPLCAFGD_00850,IJGDKHFC_01054,,,MEHEBMPK_01175,JPHLBIEJ_00444,,
group_1577,,hypothetical protein,,,NCOBLFIM_00008,CHHPJEJH_00664,,,HBKJMDBP_00771,LDEEJEMD_01416
group_1568,,YccF domain-containing protein,GPLCAFGD_00677,IJGDKHFC_00875,,,MEHEBMPK_00618,JPHLBIEJ_00243,,
group_1566,,hypothetical protein,GPLCAFGD_00504,IJGDKHFC_00499,,,MEHEBMPK_01059,JPHLBIEJ_00055,,
sepH,sepH;,septation protein SepH;hypothetical protein,GPLCAFGD_00493,IJGDKHFC_00510,,,MEHEBMPK_01047,JPHLBIEJ_00043,,
ftsY,ftsY,signal recognition particle-docking protein FtsY,GPLCAFGD_01097,IJGDKHFC_00234,,,MEHEBMPK_00093,JPHLBIEJ_00706,,
group_1531,,HAD-IIB family hydrolase,GPLCAFGD_00387,IJGDKHFC_00609,,,MEHEBMPK_00938,JPHLBIEJ_01226,,
group_1528,,hypothetical protein,GPLCAFGD_00370,IJGDKHFC_00626,,,MEHEBMPK_00919,JPHLBIEJ_01207,,
group_1519,,metal-sensitive transcriptional regulator,GPLCAFGD_00021,IJGDKHFC_00831,,,MEHEBMPK_00278,JPHLBIEJ_00877,,
group_1517,,A/G-specific adenine glycosylase,GPLCAFGD_00859,IJGDKHFC_01068,,,MEHEBMPK_01159,JPHLBIEJ_00459,,
group_1515,,gluconate kinase;gluconokinase,,,NCOBLFIM_00508,CHHPJEJH_01204,,,HBKJMDBP_01235,LDEEJEMD_01433
group_1514,,hypothetical protein,GPLCAFGD_00511,IJGDKHFC_00492,,,MEHEBMPK_01066,JPHLBIEJ_00062,,
group_1512,,sigma-70 family RNA polymerase sigma factor,GPLCAFGD_00223,IJGDKHFC_01145,,,MEHEBMPK_00834,JPHLBIEJ_01097,,
group_1511,,amidohydrolase;M20 family metallopeptidase,GPLCAFGD_00206,IJGDKHFC_01162,,,MEHEBMPK_00817,JPHLBIEJ_01070,,
group_1506,,ABC transporter permease,GPLCAFGD_00757,IJGDKHFC_00956,,,MEHEBMPK_00693,JPHLBIEJ_00328,,
group_1503,thiM,hydroxyethylthiazole kinase,GPLCAFGD_00854,IJGDKHFC_01058,,,MEHEBMPK_01171,JPHLBIEJ_00448,,
group_1501,,glycosyltransferase,GPLCAFGD_00166,IJGDKHFC_00682,,,MEHEBMPK_00427,JPHLBIEJ_01024,,
group_1498,;glgX,hypothetical protein;glycogen debranching enzyme GlgX,,,NCOBLFIM_00287,CHHPJEJH_00924,,,HBKJMDBP_00971,LDEEJEMD_01173
group_1492,,LysR substrate-binding domain-containing protein;LysR family transcriptional regulator,GPLCAFGD_01025,IJGDKHFC_00162,,,MEHEBMPK_00022,JPHLBIEJ_00636,,
group_1487,,CrcB family protein,GPLCAFGD_01132,IJGDKHFC_00269,,,MEHEBMPK_00131,JPHLBIEJ_00746,,
rsfS,rsfS,ribosome silencing factor,GPLCAFGD_00716,IJGDKHFC_00914,,,MEHEBMPK_00657,JPHLBIEJ_00283,,
group_1482,,hypothetical protein;glycosyltransferase family 2 protein,GPLCAFGD_00384,IJGDKHFC_00612,,,MEHEBMPK_00935,JPHLBIEJ_01223,,
group_1481,,hypothetical protein,,,NCOBLFIM_00301,CHHPJEJH_00938,,,HBKJMDBP_00985,LDEEJEMD_01155
group_1479,,YraN family protein,GPLCAFGD_00430,IJGDKHFC_00567,,,MEHEBMPK_00986,JPHLBIEJ_01274,,
group_1478,,HPr family phosphocarrier protein,GPLCAFGD_00955,IJGDKHFC_00091,,,MEHEBMPK_01232,JPHLBIEJ_00560,,
thiM,thiM,hydroxyethylthiazole kinase,,,NCOBLFIM_00570,CHHPJEJH_01138,,,HBKJMDBP_01313,LDEEJEMD_01539
group_1474,,hypothetical protein,GPLCAFGD_00114,IJGDKHFC_00734,,,MEHEBMPK_00374,JPHLBIEJ_00972,,
group_1470,,AAA family ATPase,GPLCAFGD_00232,IJGDKHFC_01136,,,MEHEBMPK_00843,JPHLBIEJ_01106,,
group_1469,,CDP-alcohol phosphatidyltransferase family protein,GPLCAFGD_00605,IJGDKHFC_00389,,,MEHEBMPK_00540,JPHLBIEJ_00172,,
cas2,cas2,CRISPR-associated endonuclease Cas2,GPLCAFGD_00775,IJGDKHFC_00974,,,MEHEBMPK_00714,,,LDEEJEMD_00836
group_1466,,HD domain-containing protein,GPLCAFGD_00933,IJGDKHFC_00069,,,MEHEBMPK_01254,JPHLBIEJ_00538,,
group_1465,,hypothetical protein,GPLCAFGD_00557,IJGDKHFC_00438,,,MEHEBMPK_00494,JPHLBIEJ_00126,,
group_1463,raiA,ribosome-associated translation inhibitor RaiA,,,NCOBLFIM_01092,CHHPJEJH_00536,,,HBKJMDBP_00942,LDEEJEMD_01214
group_1460,,CadD family cadmium resistance transporter,GPLCAFGD_00308,IJGDKHFC_01106,2_refound_15,,,,HBKJMDBP_00758,
group_1436,,50S ribosomal protein L36,,,2_refound_10,3_refound_16,,,6_refound_29,LDEEJEMD_00173
group_1370,,hypothetical protein,0_refound_0,IJGDKHFC_00205,,,MEHEBMPK_00065,5_refound_21,,
group_1300,,hypothetical protein,0_refound_4,1_refound_8,,,MEHEBMPK_01055,JPHLBIEJ_00051,,
thiS_1,thiS_1,sulfur carrier protein ThiS,GPLCAFGD_00541,IJGDKHFC_00454,,,MEHEBMPK_00477,JPHLBIEJ_00109,,
group_1260,,hypothetical protein,GPLCAFGD_00006,IJGDKHFC_00846,,,MEHEBMPK_00262,JPHLBIEJ_00861,,
group_1242,,hypothetical protein,GPLCAFGD_01185,IJGDKHFC_00322,,,MEHEBMPK_00205,JPHLBIEJ_00806,,
group_1232,,hypothetical protein,GPLCAFGD_00197,IJGDKHFC_01171,,,MEHEBMPK_00808,JPHLBIEJ_01061,,
group_1210,,hypothetical protein,,,,,MEHEBMPK_01042,JPHLBIEJ_00039,HBKJMDBP_00930,LDEEJEMD_01228
group_1185,,hypothetical protein,GPLCAFGD_00139,IJGDKHFC_00709,,,MEHEBMPK_00399,JPHLBIEJ_00997,,
group_1169,,glutaredoxin domain-containing protein,GPLCAFGD_01096,IJGDKHFC_00233,,,MEHEBMPK_00092,JPHLBIEJ_00705,,
rpsT,rpsT,30S ribosomal protein S20,GPLCAFGD_00618,IJGDKHFC_00376,,,MEHEBMPK_00553,JPHLBIEJ_00185,,
group_1156,,PTS sugar transporter subunit IIB,GPLCAFGD_00952,IJGDKHFC_00088,,,MEHEBMPK_01235,JPHLBIEJ_00557,,
group_1148,,WhiB family transcriptional regulator,GPLCAFGD_00380,IJGDKHFC_00616,,,MEHEBMPK_00931,JPHLBIEJ_01219,,
group_1142,,hypothetical protein,,,2_refound_13,3_refound_17,,,6_refound_51,LDEEJEMD_01213
group_1108,,YhbY family RNA-binding protein,,,NCOBLFIM_00072,CHHPJEJH_00730,,,HBKJMDBP_00699,LDEEJEMD_00943
group_1107,,YhbY family RNA-binding protein,GPLCAFGD_00588,IJGDKHFC_00407,,,MEHEBMPK_00525,JPHLBIEJ_00157,,
group_1096,groES,co-chaperone GroES,GPLCAFGD_00009,IJGDKHFC_00843,,,MEHEBMPK_00265,JPHLBIEJ_00864,,
group_1086,,hypothetical protein,GPLCAFGD_00596,IJGDKHFC_00398,,,MEHEBMPK_00531,JPHLBIEJ_00163,,
group_1084,,ferredoxin family protein,,,NCOBLFIM_00835,CHHPJEJH_00259,,,HBKJMDBP_00274,LDEEJEMD_00209
group_1073,,small basic family protein,,,NCOBLFIM_00052,CHHPJEJH_00710,,,HBKJMDBP_00727,LDEEJEMD_00973
group_1071,,hypothetical protein,GPLCAFGD_00565,IJGDKHFC_00430,,,MEHEBMPK_00502,JPHLBIEJ_00134,,
group_1070,,ferredoxin family protein,GPLCAFGD_00016,IJGDKHFC_00836,,,MEHEBMPK_00272,JPHLBIEJ_00871,,
group_1065,,ACT domain-containing protein,GPLCAFGD_00862,IJGDKHFC_01071,,,MEHEBMPK_01156,JPHLBIEJ_00462,,
group_1060,,chorismate mutase,GPLCAFGD_01129,IJGDKHFC_00266,,,MEHEBMPK_00128,JPHLBIEJ_00743,,
trxA,trxA,thioredoxin,GPLCAFGD_00125,IJGDKHFC_00723,,,MEHEBMPK_00385,JPHLBIEJ_00983,,
group_1056,,RNA polymerase-binding protein RbpA,GPLCAFGD_00559,IJGDKHFC_00436,,,MEHEBMPK_00496,JPHLBIEJ_00128,,
group_1044,,histidine triad nucleotide-binding protein,GPLCAFGD_00628,IJGDKHFC_01207,,,MEHEBMPK_00565,JPHLBIEJ_00197,,
group_1041,,hypothetical protein,GPLCAFGD_00442,IJGDKHFC_00555,,,MEHEBMPK_00998,JPHLBIEJ_01286,,
group_1030,,pilus assembly protein,GPLCAFGD_01140,IJGDKHFC_00277,,,MEHEBMPK_00139,JPHLBIEJ_00754,,
group_1029,,LysM peptidoglycan-binding domain-containing protein,GPLCAFGD_00369,IJGDKHFC_00627,,,MEHEBMPK_00918,JPHLBIEJ_01206,,
group_1027,,hypothetical protein,GPLCAFGD_01045,IJGDKHFC_00181,,,MEHEBMPK_00042,JPHLBIEJ_00656,,
group_1022,,cold shock domain-containing protein,GPLCAFGD_00514,IJGDKHFC_00489,,,MEHEBMPK_01069,JPHLBIEJ_00065,,
group_1012,,hypothetical protein,0_refound_2_stop,IJGDKHFC_01027,,,MEHEBMPK_00762,JPHLBIEJ_00415,,
group_1011,,pyridoxamine 5'-phosphate oxidase family protein,,,NCOBLFIM_00202,CHHPJEJH_00867,,,HBKJMDBP_00578,LDEEJEMD_00795
group_1010,,flp pilus-assembly TadE/G-like family protein,GPLCAFGD_01141,IJGDKHFC_00278,,,MEHEBMPK_00140,JPHLBIEJ_00755,,
group_1009,,Fur family transcriptional regulator,GPLCAFGD_00745,IJGDKHFC_00943,,,MEHEBMPK_00682,JPHLBIEJ_00312,,
group_1008,,pyridoxamine 5'-phosphate oxidase family protein,GPLCAFGD_00712,IJGDKHFC_00910,,,MEHEBMPK_00653,JPHLBIEJ_00279,,
group_1004,rnpA,ribonuclease P protein component,GPLCAFGD_01072,IJGDKHFC_00209,,,MEHEBMPK_00069,JPHLBIEJ_00682,,
group_1000,,CrcB family protein,GPLCAFGD_01133,IJGDKHFC_00270,,,MEHEBMPK_00132,JPHLBIEJ_00747,,
group_983,,FHA domain-containing protein,GPLCAFGD_00563,IJGDKHFC_00432,,,MEHEBMPK_00500,JPHLBIEJ_00132,,
group_981,,PTS sugar transporter subunit IIA,GPLCAFGD_00953,IJGDKHFC_00089,,,MEHEBMPK_01234,JPHLBIEJ_00558,,
group_980,,hypothetical protein,GPLCAFGD_00614,IJGDKHFC_00380,,,MEHEBMPK_00549,JPHLBIEJ_00181,,
group_976,,tripartite tricarboxylate transporter TctB family protein,GPLCAFGD_00615,IJGDKHFC_00379,,,MEHEBMPK_00550,JPHLBIEJ_00182,,
group_975,,cell division protein SepF,GPLCAFGD_00211,IJGDKHFC_01157,,,MEHEBMPK_00822,JPHLBIEJ_01075,,
group_969,,hypothetical protein,GPLCAFGD_01067,IJGDKHFC_00203,,,MEHEBMPK_00063,JPHLBIEJ_00677,,
group_964,,septum formation initiator family protein,GPLCAFGD_00456,IJGDKHFC_00541,,,MEHEBMPK_01013,JPHLBIEJ_00010,,
group_954,,peptide deformylase,GPLCAFGD_00575,IJGDKHFC_00420,,,MEHEBMPK_00512,JPHLBIEJ_00144,,
group_953,,NUDIX hydrolase,GPLCAFGD_00311,IJGDKHFC_01103,NCOBLFIM_00013,CHHPJEJH_00669,,,,
group_946,purE,5-(carboxyamino)imidazole ribonucleotide mutase,GPLCAFGD_00743,IJGDKHFC_00941,,,MEHEBMPK_00680,JPHLBIEJ_00310,,
folK,folK,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,GPLCAFGD_00454,IJGDKHFC_00543,,,MEHEBMPK_01011,JPHLBIEJ_00008,,
group_945,,hypothetical protein,GPLCAFGD_00828,IJGDKHFC_01033,,,MEHEBMPK_00768,JPHLBIEJ_00421,,
group_943,,LytTR family DNA-binding domain-containing protein,GPLCAFGD_00714,IJGDKHFC_00912,,,MEHEBMPK_00655,JPHLBIEJ_00281,,
group_941,ybeY,rRNA maturation RNase YbeY,,,NCOBLFIM_00192,CHHPJEJH_00857,,,HBKJMDBP_00588,LDEEJEMD_00804
group_924,,YbhB/YbcL family Raf kinase inhibitor-like protein,,,NCOBLFIM_00527,CHHPJEJH_01185,,,HBKJMDBP_01256,LDEEJEMD_01459
group_918,frr,ribosome recycling factor,,,NCOBLFIM_00046,CHHPJEJH_00704,,,HBKJMDBP_00733,LDEEJEMD_00980
frr,frr,ribosome recycling factor,GPLCAFGD_00571,IJGDKHFC_00424,,,MEHEBMPK_00508,JPHLBIEJ_00140,,
ybeY,ybeY,rRNA maturation RNase YbeY,GPLCAFGD_00626,IJGDKHFC_01209,,,MEHEBMPK_00563,JPHLBIEJ_00195,,
ahpC,ahpC,alkyl hydroperoxide reductase subunit C,GPLCAFGD_01027,IJGDKHFC_00164,,,MEHEBMPK_00024,JPHLBIEJ_00638,,
group_907,,pilus assembly protein TadB,GPLCAFGD_01137,IJGDKHFC_00274,,,MEHEBMPK_00136,JPHLBIEJ_00751,,
group_902,dcd,dCTP deaminase,,,NCOBLFIM_00581,CHHPJEJH_00008,,,HBKJMDBP_00012,LDEEJEMD_00508
dcd,dcd,dCTP deaminase,GPLCAFGD_01023,IJGDKHFC_00160,,,MEHEBMPK_00020,JPHLBIEJ_00634,,
ruvC,ruvC,crossover junction endodeoxyribonuclease RuvC,GPLCAFGD_00603,IJGDKHFC_00391,,,MEHEBMPK_00538,JPHLBIEJ_00170,,
group_900,,single-stranded DNA-binding protein,GPLCAFGD_00081,IJGDKHFC_00767,,,MEHEBMPK_00342,JPHLBIEJ_00940,,
group_892,,hypothetical protein,GPLCAFGD_00577,IJGDKHFC_00418,,,MEHEBMPK_00514,JPHLBIEJ_00146,,
group_886,,ECF transporter S component,,,NCOBLFIM_00284,CHHPJEJH_00921,,,HBKJMDBP_00968,LDEEJEMD_01176
group_882,,MerR family transcriptional regulator,GPLCAFGD_00562,IJGDKHFC_00433,,,MEHEBMPK_00499,JPHLBIEJ_00131,,
group_881,,ECF transporter S component,GPLCAFGD_00175,IJGDKHFC_00673,,,MEHEBMPK_00435,JPHLBIEJ_01032,,
group_879,,beta-carotene 1515'-monooxygenase,GPLCAFGD_00984,IJGDKHFC_00120,,,MEHEBMPK_01207,JPHLBIEJ_00585,,
group_878,,arginine repressor,GPLCAFGD_00470,IJGDKHFC_00533,,,MEHEBMPK_01020,JPHLBIEJ_00017,,
thiF,thiF,sulfur carrier protein ThiS adenylyltransferase ThiF,GPLCAFGD_00542,IJGDKHFC_00453,,,MEHEBMPK_00478,JPHLBIEJ_00110,,
group_872,,hypothetical protein,GPLCAFGD_01086,IJGDKHFC_00223,,,MEHEBMPK_00082,JPHLBIEJ_00695,,
group_871,,50S ribosomal protein L25/general stress protein Ctc,GPLCAFGD_00621,IJGDKHFC_00373,,,MEHEBMPK_00559,JPHLBIEJ_00191,,
group_868,,hypothetical protein,GPLCAFGD_00066,IJGDKHFC_00782,,,MEHEBMPK_00328,JPHLBIEJ_00926,,
ssb,ssb,single-stranded DNA-binding protein,,,NCOBLFIM_00953,CHHPJEJH_00378,,,HBKJMDBP_00412,LDEEJEMD_00012
group_858,,biotin transporter BioY,GPLCAFGD_00886,IJGDKHFC_00025,,,MEHEBMPK_01132,JPHLBIEJ_00487,,
group_855,,peptide deformylase,GPLCAFGD_00845,IJGDKHFC_01049,,,MEHEBMPK_00785,JPHLBIEJ_00439,,
group_850,,adenine phosphoribosyltransferase,GPLCAFGD_00599,IJGDKHFC_00395,,,MEHEBMPK_00534,JPHLBIEJ_00166,,
rpe,rpe,ribulose-phosphate 3-epimerase,GPLCAFGD_00568,IJGDKHFC_00427,,,MEHEBMPK_00505,JPHLBIEJ_00137,,
group_847,,N-acetylmannosamine-6-phosphate 2-epimerase,,,NCOBLFIM_00598,CHHPJEJH_00025,,,HBKJMDBP_00029,LDEEJEMD_00482
group_846,,YigZ family protein,GPLCAFGD_00022,IJGDKHFC_00830,,,MEHEBMPK_00279,JPHLBIEJ_00878,,
raiA,raiA,ribosome-associated translation inhibitor RaiA,GPLCAFGD_00480,IJGDKHFC_00523,,,MEHEBMPK_01030,JPHLBIEJ_00027,,
nth,nth,endonuclease III,GPLCAFGD_01200,IJGDKHFC_00337,,,MEHEBMPK_00222,JPHLBIEJ_00822,,
group_839,,ABC transporter permease subunit,GPLCAFGD_00553,IJGDKHFC_00442,,,MEHEBMPK_00489,JPHLBIEJ_00121,,
group_830,,tRNA (cytidine(34)-2'-O)-methyltransferase,GPLCAFGD_00858,IJGDKHFC_01067,,,MEHEBMPK_01160,JPHLBIEJ_00458,,
group_825,,lysophospholipid acyltransferase family protein,GPLCAFGD_00483,IJGDKHFC_00520,,,MEHEBMPK_01033,JPHLBIEJ_00030,,
group_824,,HNH endonuclease family protein,GPLCAFGD_00122,IJGDKHFC_00726,,,MEHEBMPK_00382,JPHLBIEJ_00980,,
group_823,,Crp/Fnr family transcriptional regulator,GPLCAFGD_00074,IJGDKHFC_00774,,,MEHEBMPK_00336,JPHLBIEJ_00934,,
group_819,,uracil-DNA glycosylase,GPLCAFGD_00507,IJGDKHFC_00496,,,MEHEBMPK_01062,JPHLBIEJ_00058,,
group_811,,FCD domain-containing protein,,,NCOBLFIM_00509,CHHPJEJH_01203,,,HBKJMDBP_01236,LDEEJEMD_01434
group_810,,response regulator transcription factor,GPLCAFGD_00512,IJGDKHFC_00491,,,MEHEBMPK_01067,JPHLBIEJ_00063,,
group_807,,Bax inhibitor-1/YccA family protein,GPLCAFGD_00794,IJGDKHFC_00997,,,MEHEBMPK_00733,JPHLBIEJ_00386,,
recO,recO,DNA repair protein RecO,GPLCAFGD_00204,IJGDKHFC_01164,,,MEHEBMPK_00815,JPHLBIEJ_01068,,
pyrH,pyrH,UMP kinase,GPLCAFGD_00572,IJGDKHFC_00423,,,MEHEBMPK_00509,JPHLBIEJ_00141,,
group_800,,YebC/PmpR family DNA-binding transcriptional regulator,,,NCOBLFIM_00086,CHHPJEJH_00744,,,HBKJMDBP_00685,LDEEJEMD_00924
group_799,,YebC/PmpR family DNA-binding transcriptional regulator,GPLCAFGD_00604,IJGDKHFC_00390,,,MEHEBMPK_00539,JPHLBIEJ_00171,,
group_795,,ABC transporter permease,,,NCOBLFIM_01078,CHHPJEJH_00522,,,HBKJMDBP_00210,LDEEJEMD_00295
group_793,,hypothetical protein,GPLCAFGD_00244,IJGDKHFC_01124,,,MEHEBMPK_00855,JPHLBIEJ_01118,,
group_792,,thiazole synthase,GPLCAFGD_00543,IJGDKHFC_00452,,,MEHEBMPK_00479,JPHLBIEJ_00111,,
group_788,,ABC transporter ATP-binding protein,,,,,MEHEBMPK_01085,JPHLBIEJ_00724,HBKJMDBP_00130,7_refound_79
group_786,,amino acid ABC transporter ATP-binding protein,,,NCOBLFIM_00041,CHHPJEJH_00699,,,HBKJMDBP_00714,LDEEJEMD_00960
group_785,,ROK family protein,,,NCOBLFIM_00025,CHHPJEJH_00683,,,HBKJMDBP_00746,LDEEJEMD_00997
group_784,,amidohydrolase family protein,,,NCOBLFIM_01141,CHHPJEJH_00585,,,HBKJMDBP_00850,LDEEJEMD_01320
group_782,,ABC transporter ATP-binding protein,,,NCOBLFIM_00462,CHHPJEJH_01100,,,HBKJMDBP_01134,LDEEJEMD_00591
group_781,,pseudouridine synthase,GPLCAFGD_00594,IJGDKHFC_00400,,,MEHEBMPK_00529,JPHLBIEJ_00161,,
group_780,,ROK family protein,GPLCAFGD_00584,IJGDKHFC_00411,,,MEHEBMPK_00521,JPHLBIEJ_00153,,
group_779,sufC,Fe-S cluster assembly ATPase SufC,,,NCOBLFIM_00982,CHHPJEJH_00407,,,HBKJMDBP_00444,LDEEJEMD_00694
sufC,sufC,Fe-S cluster assembly ATPase SufC,GPLCAFGD_00150,IJGDKHFC_00698,,,MEHEBMPK_00410,JPHLBIEJ_01008,,
group_777,,exonuclease domain-containing protein,GPLCAFGD_00222,IJGDKHFC_01146,,,MEHEBMPK_00833,JPHLBIEJ_01096,,
group_771,,response regulator,GPLCAFGD_00412,IJGDKHFC_00584,,,MEHEBMPK_00961,JPHLBIEJ_01249,,
group_770,,SDR family oxidoreductase,,,NCOBLFIM_01143,CHHPJEJH_00587,,,HBKJMDBP_00848,LDEEJEMD_01322
group_768,,isoprenyl transferase,,,NCOBLFIM_00347,CHHPJEJH_00984,,,HBKJMDBP_01031,LDEEJEMD_01098
group_767,,isoprenyl transferase,GPLCAFGD_00205,IJGDKHFC_01163,,,MEHEBMPK_00816,JPHLBIEJ_01069,,
group_764,,16S rRNA (uracil(1498)-N(3))-methyltransferase,,,NCOBLFIM_00195,CHHPJEJH_00860,,,HBKJMDBP_00585,LDEEJEMD_00801
group_761,,NUDIX hydrolase,GPLCAFGD_01084,IJGDKHFC_00221,,,MEHEBMPK_00080,JPHLBIEJ_00693,,
group_758,,(p)ppGpp synthetase,GPLCAFGD_00793,IJGDKHFC_00996,,,MEHEBMPK_00732,JPHLBIEJ_00385,,
nadD,nadD,nicotinate-nucleotide adenylyltransferase,GPLCAFGD_00720,IJGDKHFC_00918,,,MEHEBMPK_00661,JPHLBIEJ_00287,,
group_756,,amino acid ABC transporter ATP-binding protein,GPLCAFGD_00551,IJGDKHFC_00444,,,MEHEBMPK_00487,JPHLBIEJ_00119,,
group_754,,(p)ppGpp synthetase,,,NCOBLFIM_00997,CHHPJEJH_00423,,,HBKJMDBP_00454,LDEEJEMD_00675
rpsB,rpsB,30S ribosomal protein S2,GPLCAFGD_00574,IJGDKHFC_00421,,,MEHEBMPK_00511,JPHLBIEJ_00143,,
group_752,,carbohydrate ABC transporter permease,,,,,MEHEBMPK_01193,JPHLBIEJ_00597,HBKJMDBP_01299,LDEEJEMD_01528
group_745,,hypothetical protein,GPLCAFGD_00564,IJGDKHFC_00431,,,MEHEBMPK_00501,JPHLBIEJ_00133,,
group_742,,AAA family ATPase,,,NCOBLFIM_00988,CHHPJEJH_00413,,,HBKJMDBP_00450,LDEEJEMD_00688
tsf,tsf,translation elongation factor Ts,GPLCAFGD_00573,IJGDKHFC_00422,,,MEHEBMPK_00510,JPHLBIEJ_00142,,
group_731,,ATP-binding cassette domain-containing protein,,,NCOBLFIM_00594,CHHPJEJH_00021,,,HBKJMDBP_00025,LDEEJEMD_00486
group_723,,thymidylate synthase,GPLCAFGD_00168,IJGDKHFC_00680,,,MEHEBMPK_00429,JPHLBIEJ_01026,,
gnd,gnd,decarboxylating 6-phosphogluconate dehydrogenase,,,NCOBLFIM_00506,CHHPJEJH_01206,,,HBKJMDBP_01233,LDEEJEMD_01430
group_721,,M48 family metalloprotease,GPLCAFGD_01032,IJGDKHFC_00168,,,MEHEBMPK_00028,JPHLBIEJ_00642,,
group_720,,Nif3-like dinuclear metal center hexameric protein,GPLCAFGD_00414,IJGDKHFC_00582,,,MEHEBMPK_00963,JPHLBIEJ_01251,,
rfbA,rfbA,glucose-1-phosphate thymidylyltransferase RfbA,,,NCOBLFIM_00465,CHHPJEJH_01103,,,HBKJMDBP_01137,LDEEJEMD_00596
group_711,rsmI,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,GPLCAFGD_00946,IJGDKHFC_00082,,,MEHEBMPK_01241,JPHLBIEJ_00551,,
group_710,,carbohydrate kinase,GPLCAFGD_00216,IJGDKHFC_01152,,,MEHEBMPK_00827,JPHLBIEJ_01090,,
group_709,,sugar ABC transporter permease,,,,,MEHEBMPK_01192,JPHLBIEJ_00598,HBKJMDBP_01300,LDEEJEMD_01529
lgt,lgt,prolipoprotein diacylglyceryl transferase,GPLCAFGD_00569,IJGDKHFC_00426,,,MEHEBMPK_00506,JPHLBIEJ_00138,,
group_704,,ABC transporter substrate-binding protein,,,NCOBLFIM_00349,CHHPJEJH_00986,,,HBKJMDBP_01033,LDEEJEMD_01096
group_702,,NAD kinase,GPLCAFGD_00477,IJGDKHFC_00526,,,MEHEBMPK_01027,JPHLBIEJ_00024,,
group_699,,hemagglutinin,GPLCAFGD_00373,IJGDKHFC_00623,,,MEHEBMPK_00924,JPHLBIEJ_01212,,
group_695,,EamA family transporter,GPLCAFGD_00018,IJGDKHFC_00834,,,MEHEBMPK_00274,JPHLBIEJ_00873,,
group_690,,DMT family transporter,,,NCOBLFIM_00450,CHHPJEJH_01088,,,HBKJMDBP_00361,LDEEJEMD_00082
group_689,,ABC transporter permease,GPLCAFGD_00940,IJGDKHFC_00076,,,MEHEBMPK_01247,JPHLBIEJ_00545,,
group_682,,ABC transporter permease,,,NCOBLFIM_00596,CHHPJEJH_00023,,,HBKJMDBP_00027,LDEEJEMD_00484
group_671,,hypothetical protein,GPLCAFGD_01213,IJGDKHFC_00350,,,MEHEBMPK_00231,JPHLBIEJ_00831,,
group_669,,tyrosine recombinase XerC,GPLCAFGD_00238,IJGDKHFC_01130,,,MEHEBMPK_00849,JPHLBIEJ_01112,,
group_666,,aquaporin,GPLCAFGD_00595,IJGDKHFC_00399,,,MEHEBMPK_00530,JPHLBIEJ_00162,,
group_660,,ABC transporter permease,GPLCAFGD_00941,IJGDKHFC_00077,,,MEHEBMPK_01246,JPHLBIEJ_00546,,
rlmB,rlmB,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,GPLCAFGD_01021,IJGDKHFC_00158,,,MEHEBMPK_00018,JPHLBIEJ_00632,,
group_645,,DMT family transporter,GPLCAFGD_00711,IJGDKHFC_00909,,,MEHEBMPK_00652,JPHLBIEJ_00278,,
group_644,,DNA polymerase III subunit delta,GPLCAFGD_00696,IJGDKHFC_00894,,,MEHEBMPK_00637,JPHLBIEJ_00263,,
group_639,,ribose-phosphate diphosphokinase,GPLCAFGD_00863,IJGDKHFC_01072,,,MEHEBMPK_01155,JPHLBIEJ_00463,,
group_636,,alpha-glucosidase,,,NCOBLFIM_00543,CHHPJEJH_01167,,,HBKJMDBP_01273,7_refound_88_stop
group_635,,ribose-phosphate diphosphokinase,GPLCAFGD_00719,IJGDKHFC_00917,,,MEHEBMPK_00660,JPHLBIEJ_00286,,
group_630,,universal stress protein,GPLCAFGD_00165,IJGDKHFC_00683,,,MEHEBMPK_00426,JPHLBIEJ_01023,,
metA,metA,homoserine O-succinyltransferase,GPLCAFGD_01157,IJGDKHFC_00294,,,MEHEBMPK_00164,JPHLBIEJ_00778,,
